collector_location,collector_id,device_id,latitude,longitude,snapshot_datetime,Year,Month,Day,Hour,DayPeriod,Season,road,state,city
-MseZ2fAZ1SjLMaYOXy2,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:42.373120,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZ3tJG5FeQy7OEB6H,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:47.379586,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZ57uwVY_hYJ_G8nF,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:52.473970,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZ6JS8eUMGMr-6cF0,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:06:57.308858,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZ7XzNXS16vXvrVYO,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:02.335482,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZ8kacECxi4LqL9Hm,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:07.301313,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZ9z4Q1SX46IlUQPp,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:12.324396,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZBBvZqezguCFJ2SW,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:17.306656,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZCPrU6-ZSXcdsOta,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:22.295105,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZDczGCa8hpHJQqMx,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:27.295483,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZErQb_CXhq38SAyx,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:32.314547,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZG4NfOcfB-tF6o60,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:37.304209,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZHJH0Utez-pDNYtB,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:42.354204,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZIWHzlYDWWGfsAgw,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:47.281990,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZJkcW60QNBOV9fvX,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:52.359426,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZKxoMr-y_aOh70Ma,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:07:57.300053,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZMBDo5ZLz4x-lvgI,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:02.317911,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZNOAzgS6MQwR6zae,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:07.243096,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZOcYxnYuqlfl78VS,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:12.323097,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZPpz2D2F6t19fl2u,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:17.279115,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-MseZR35SfqzH73EsPsm,51,fe175d9955fced88,30.0423134,31.3364203,2022-01-05 16:08:22.278425,2022,January,Wednesday,16,afternoon,Winter,Sheikh Taha Al -Dinari Street,Cairo,Cairo
-Msed6GaiHDo4a_Skshq,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:28:47.843047,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msed78PVOLzGtKQI6ok,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:28:51.418657,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msed8KzOOWzM3GCLQHM,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:28:56.319108,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-Msed9alSIaW02wJsepa,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:01.489270,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedAorlieO9IZjMC5C,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:06.486555,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedC0UCvD3CCmPRNZP,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:11.391414,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedDEUovAhzFqPVy54,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:16.383063,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedESX1KRr3FvL-1Pp,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:21.378353,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedFgLhOKVxDNOpIFe,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:26.421735,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedGuib-ZPltO8uIfS,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:31.438050,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedIA6j2jHqWN7KjG6,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:36.583249,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedJLZCZxdUrBas-eZ,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:41.411792,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedK_JsgUyp3F7RLsl,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:46.452137,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedLmKojMJNaPf3zNr,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:51.381276,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedN05Tdh-EVONgHSh,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:29:56.422072,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedOHL11TRe22NufvW,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:01.621543,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedPR5NdukLgPGgpqq,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:06.341919,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedQfBDVtYcvyl9S0_,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:11.404427,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
-MsedRt3g3aDpeNeyMJL,51,b8e1d679ea29c711,27.2040339,31.1748041,2022-01-05 16:30:16.388262,2022,January,Wednesday,16,afternoon,Winter,Ten neighborhood,Asyut,Asyut
